Name;Families;;
Bine;Eastern Trans-Fly;;
Bintauna;Austronesian;;
Binukid;Austronesian;;
Binukidnon, Northern;Austronesian;;
Binukidnon, Southern;Austronesian;;
Binumarien;Trans-New Guinea;;
Bipi;Austronesian;;
Bira;Niger-Congo;;
Birao;Austronesian;;
Birgit;Afro-Asiatic;;
Birhor;Austro-Asiatic;;
Biri;Australian;;
Birifor, Malba;Niger-Congo;;
Birifor, Southern;Niger-Congo;;
Biritai;Lakes Plain;;
Birked;Nilo-Saharan;;
Birri;Nilo-Saharan;;
Birrpayi;Australian;;
Birwa;Niger-Congo;;
Bisa;Niger-Congo;;
Bisã;Niger-Congo;;
Bisaya, Brunei;Austronesian;;
Bisaya, Sabah;Austronesian;;
Biseni;Niger-Congo;;
Bishnupuriya;Indo-European;;
Bishuo;Niger-Congo;;
Bisis;Sepik;;
Bislama;Creole;;
Bisorio;Trans-New Guinea;;
Bisu;Sino-Tibetan;;
Bit;Austro-Asiatic;;
Bitare;Niger-Congo;;
Bitur;Trans-New Guinea;;
Biwat;Yuat;;
Biyo;Sino-Tibetan;;
Biyom;Trans-New Guinea;;
Blaan, Koronadal;Austronesian;;
Blaan, Sarangani;Austronesian;;
Blablanga;Austronesian;;
Blackfoot;Algic;;
Blafe;South-Central Papuan;;
Blagar;Trans-New Guinea;;
Blang;Austro-Asiatic;;
Bo;Arai (Left May);;
Bo;Austro-Asiatic;;
Bo-Rukul;Niger-Congo;;
Bo-Ung;Trans-New Guinea;;
Boano;Austronesian;;
Bobo Madaré, Southern;Niger-Congo;;
Bobongko;Austronesian;;
Bobot;Austronesian;;
Bodo;Niger-Congo;;
Bodo Parja;Indo-European;;
Bofi;Niger-Congo;;
Boga;Afro-Asiatic;;
Bogaya;Trans-New Guinea;;
Boghom;Afro-Asiatic;;
Bogkalot;Austronesian;;
Boguru;Niger-Congo;;
Bohtan Neo-Aramaic;Afro-Asiatic;;
Boikin;Sepik;;
Bokha;Sino-Tibetan;;
Boko;Niger-Congo;;
Boko;Niger-Congo;;
Bokobaru;Niger-Congo;;
Bokyi;Niger-Congo;;
Bola;Austronesian;;
Bolango;Austronesian;;
Bole;Afro-Asiatic;;
Bolgo;Niger-Congo;;
Bolia;Niger-Congo;;
Bolinao;Austronesian;;
Boloki;Niger-Congo;;
Bolon;Niger-Congo;;
Bolondo;Niger-Congo;;
Bolyu;Austro-Asiatic;;
Bom-Kim;Niger-Congo;;
Boma;Niger-Congo;;
Bomboli;Niger-Congo;;
Bomboma;Niger-Congo;;
Bomitaba;Niger-Congo;;
Bomu;Niger-Congo;;
Bomwali;Niger-Congo;;
Bon Gula;Niger-Congo;;
Bonan;Mongolic;;
Bondei;Niger-Congo;;
Bondo;Austro-Asiatic;;
Bonerate;Austronesian;;
Bonggi;Austronesian;;
Bonggo;Austronesian;;
Bongili;Niger-Congo;;
Bongo;Nilo-Saharan;;
Bongu;Trans-New Guinea;;
Bonjo;Niger-Congo;;
Bonkeng;Niger-Congo;;
Bonkiman;Trans-New Guinea;;
Bontok, Central;Austronesian;;
Bontok, Eastern;Austronesian;;
Bontok, Northern;Austronesian;;
Bontok, Southern;Austronesian;;
Bontok, Southwestern;Austronesian;;
Boon;Afro-Asiatic;;
Boor;Afro-Asiatic;;
Bora;Witotoan;;
Borna;Afro-Asiatic;;
Boro;Niger-Congo;;
Boro;Sino-Tibetan;;
Borong;Trans-New Guinea;;
Borôro;Bororoan;;
Boruca;Chibchan;;
Boselewa;Austronesian;;
Bosmun;Ramu-Lower Sepik;;
Bosnian;Indo-European;;
Bote;Indo-European;;
Botlikh;Nakh-Daghestanian;;
Bouni;Skou;;
Bouyei;Kra-Dai;;
Bozaba;Niger-Congo;;
Bozo, Jenaama;Niger-Congo;;
Bozo, Kelengaxo;Niger-Congo;;
Bozo, Tiemacèwè;Niger-Congo;;
Bozo, Tieyaxo;Niger-Congo;;
Bragat;Torricelli;;
Brahui;Dravidian;;
Braj Bhasha;Indo-European;;
Brao;Austro-Asiatic;;
Brem;Trans-New Guinea;;
Breri;Ramu-Lower Sepik;;
Breton;Indo-European;;
Bribri;Chibchan;;
Brokkat;Sino-Tibetan;;
Brokpake;Sino-Tibetan;;
Brokskat;Indo-European;;
Broome Pearling Lugger Pidgin;Pidgin;;
Bru, Eastern;Austro-Asiatic;;
Bru, Western;Austro-Asiatic;;
Brunei;Austronesian;;
Bu;Afro-Asiatic;;
Bu;Niger-Congo;;
Bua;Niger-Congo;;
Buamu;Niger-Congo;;
Buang, Central;Austronesian;;
Buang, Mangga;Austronesian;;
Bube;Niger-Congo;;
Bubi;Niger-Congo;;
Bubia;Niger-Congo;;
Budibud;Austronesian;;
Budja;Niger-Congo;;
Budong-Budong;Austronesian;;
Budu;Niger-Congo;;
Budukh;Nakh-Daghestanian;;
Buduma;Afro-Asiatic;;
Bugan;Austro-Asiatic;;
Bugawac;Austronesian;;
Bughotu;Austronesian;;
Bugis;Austronesian;;
Buglere;Chibchan;;
Bugun;Sino-Tibetan;;
Buhid;Austronesian;;
Buhutu;Austronesian;;
Bukat;Austronesian;;
Bukharic;Indo-European;;
Bukitan;Austronesian;;
Bukiyip;Torricelli;;
Bukpe;Niger-Congo;;
Buksa;Indo-European;;
Bukusu;Niger-Congo;;
Bukwen;Niger-Congo;;
Bulgarian;Indo-European;;
Buli;Afro-Asiatic;;
Buli;Austronesian;;
Buli;Niger-Congo;;
Bullom So;Niger-Congo;;
Bulu;Austronesian;;
Bulu;Niger-Congo;;
Bulungan;Austronesian;;
Bum;Niger-Congo;;
Bumaji;Niger-Congo;;
Bumang;Austro-Asiatic;;
Bumthangkha;Sino-Tibetan;;
Bun;Yuat;;
Buna;Torricelli;;
Bunak;Trans-New Guinea;;
Bunama;Austronesian;;
Bundeli;Indo-European;;
Bung;Unclassified;;
Bungain;Torricelli;;
Bunganditj;Australian;;
Bungku;Austronesian;;
Bungu;Niger-Congo;;
Bunu, Bu-Nao;Hmong-Mien;;
Bunu, Jiongnai;Hmong-Mien;;
Bunu, Wunai;Hmong-Mien;;
Bunu, Younuo;Hmong-Mien;;
Bunuba;Australian;;
Bunun;Austronesian;;
Buol;Austronesian;;
Bura-Pabir;Afro-Asiatic;;
Burak;Niger-Congo;;
Buraka;Niger-Congo;;
Burarra;Australian;;
Burate;East Geelvink Bay;;
Burduna;Australian;;
Bure;Afro-Asiatic;;
Buriat, China;Mongolic;;
Buriat, Mongolia;Mongolic;;
Buriat, Russia;Mongolic;;
Burji;Afro-Asiatic;;
Burku;Afro-Asiatic;;
Burmese;Sino-Tibetan;;
Burmeso;East Bird’s Head-Sentani;;
Buru;Austronesian;;
Buru;Niger-Congo;;
Burui;Sepik;;
Burumakok;Trans-New Guinea;;
Burun;Nilo-Saharan;;
Burunge;Afro-Asiatic;;
Burushaski;Language isolate;;
Burusu;Austronesian;;
Buruwai;Trans-New Guinea;;
Busam;Niger-Congo;;
Busami;Austronesian;;
Bushi;Austronesian;;
Bushoong;Niger-Congo;;
Buso;Afro-Asiatic;;
Busoa;Austronesian;;
Busuu;Niger-Congo;;
Butchulla;Australian;;
Butuanon;Austronesian;;
Buwal;Afro-Asiatic;;
Buyang, Baha;Kra-Dai;;
Buyang, E’ma;Kra-Dai;;
Buyang, Langnian;Kra-Dai;;
Buyu;Niger-Congo;;
Bwa;Niger-Congo;;
Bwaidoka;Austronesian;;
Bwamu, Cwi;Niger-Congo;;
Bwamu, Láá Láá;Niger-Congo;;
Bwanabwana;Austronesian;;
Bwatoo;Austronesian;;
Bwela;Niger-Congo;;
Bwile;Niger-Congo;;
Bwisi;Niger-Congo;;
Byangsi;Sino-Tibetan;;
Byep;Niger-Congo;;
C’Lela;Niger-Congo;;
Caac;Austronesian;;
Cabécar;Chibchan;;
Cabiyarí;Maipurean;;
Cacaopera;Misumalpan;;
Cacua;Puinavean;;
Caddo;Caddoan;;
Cafundo Creole;Creole;;
Cahuarano;Zaparoan;;
Cahuilla;Uto-Aztecan;;
Cahungwarya;Niger-Congo;;
Caka;Niger-Congo;;
Cakfem-Mushere;Afro-Asiatic;;
Callawalla;Language isolate;;
Caló;Mixed language;;
Caluyanun;Austronesian;;
Camsá;Language isolate;;
Camtho;Mixed language;;
Canela;Jean;;
Canichana;Language isolate;;
Cao Lan;Kra-Dai;;
Cao Miao;Kra-Dai;;
Capanahua;Panoan;;
Capiznon;Austronesian;;
Cappadocian Greek;Indo-European;;
Caquinte;Maipurean;;
Cara;Niger-Congo;;
Carabayo;Unclassified;;
Caramanta;Paezan;;
Carapana;Tucanoan;;
Carib;Cariban;;
Carijona;Cariban;;
Carolina Algonquian;Algic;;
Carolinian;Austronesian;;
Carrier;Eyak-Athabaskan;;
Carrier, Southern;Eyak-Athabaskan;;
Catalan;Indo-European;;
Catawba;Siouan-Catawban;;
Cavineña;Tacanan;;
Cayubaba;Language isolate;;
Cayuga;Iroquoian;;
Cayuse;Language isolate;;
Cebuano;Austronesian;;
Cemuhî;Austronesian;;
Centúúm;Language isolate;;
Cerma;Niger-Congo;;
Ch’orti’;Mayan;;
Cha’ari;Afro-Asiatic;;
Chachi;Barbacoan;;
Chácobo;Panoan;;
Chadong;Kra-Dai;;
Chagatai;Turkic;;
Chaima;Cariban;;
Chak;Sino-Tibetan;;
Chakali;Niger-Congo;;
Chakavian;Indo-European;;
Chakma;Indo-European;;
Chala;Niger-Congo;;
Chaldean Neo-Aramaic;Afro-Asiatic;;
Chalikha;Sino-Tibetan;;
Cham;Niger-Congo;;
Cham, Eastern;Austronesian;;
Cham, Western;Austronesian;;
Chamacoco;Zamucoan;;
Chamalal;Nakh-Daghestanian;;
Chambeali;Indo-European;;
Chambri;Ramu-Lower Sepik;;
Chamicuro;Maipurean;;
Chamling;Sino-Tibetan;;
Chamorro;Austronesian;;
Chané;Maipurean;;
Changriwa;Yuat;;
Changthang;Sino-Tibetan;;
Chantyal;Sino-Tibetan;;
Chatino, Eastern Highland;Otomanguean;;
Chatino, Nopala;Otomanguean;;
Chatino, Tataltepec;Otomanguean;;
Chatino, Western Highland;Otomanguean;;
Chatino, Zacatepec;Otomanguean;;
Chatino, Zenzontepec;Otomanguean;;
Chaudangsi;Sino-Tibetan;;
Chaura;Austro-Asiatic;;
Chavacano;Creole;;
Chechen;Nakh-Daghestanian;;
Chehalis, Lower;Salish;;
Chehalis, Upper;Salish;;
Cheke Holo;Austronesian;;
Chemakum;Chimakuan;;
Chenapian;Sepik;;
Chenchu;Dravidian;;
Chenoua;Afro-Asiatic;;
Chepang;Sino-Tibetan;;
Chepya;Sino-Tibetan;;
Cheq Wong;Austro-Asiatic;;
Cherepon;Niger-Congo;;
Cherokee;Iroquoian;;
Chesu;Sino-Tibetan;;
Chetco;Eyak-Athabaskan;;
Chetti, Moundadan;Mixed language;;
Chetti, Wayanad;Dravidian;;
Cheyenne;Algic;;
Chhattisgarhi;Indo-European;;
Chhiling;Sino-Tibetan;;
Chhintang;Sino-Tibetan;;
Chiapanec;Otomanguean;;
Chibcha;Chibchan;;
Chichewa;Niger-Congo;;
Chichimeco-Jonaz;Otomanguean;;
Chichonyi-Chidzihana-Chikauma;Niger-Congo;;
Chickasaw;Muskogean;;
Chicomuceltec;Mayan;;
Chidigo;Niger-Congo;;
Chiduruma;Niger-Congo;;
Chiga;Niger-Congo;;
Chilcotin;Eyak-Athabaskan;;
Chilisso;Indo-European;;
Chimariko;Language isolate;;
Chimila;Chibchan;;
Chin, Anu-Khongso;Sino-Tibetan;;
Chin, Asho;Sino-Tibetan;;
Chin, Bawm;Sino-Tibetan;;
Chin, Bualkhaw;Sino-Tibetan;;
Chin, Daai;Sino-Tibetan;;
Chin, Eastern Khumi;Sino-Tibetan;;
Chin, Falam;Sino-Tibetan;;
Chin, Hakha;Sino-Tibetan;;
Chin, Kaang;Sino-Tibetan;;
Chin, Khumi;Sino-Tibetan;;
Chin, Laitu;Sino-Tibetan;;
Chin, Läoktü;Sino-Tibetan;;
Chin, Lautu;Sino-Tibetan;;
Chin, Matu;Sino-Tibetan;;
Chin, Müün;Sino-Tibetan;;
Chin, Ngawn;Sino-Tibetan;;
Chin, Paite;Sino-Tibetan;;
Chin, Rawngtu;Sino-Tibetan;;
Chin, Rungtu;Sino-Tibetan;;
Chin, Senthang;Sino-Tibetan;;
Chin, Siyin;Sino-Tibetan;;
Chin, Songlai;Sino-Tibetan;;
Chin, Sumtu;Sino-Tibetan;;
Chin, Tawr;Sino-Tibetan;;
Chin, Tedim;Sino-Tibetan;;
Chin, Thado;Sino-Tibetan;;
Chin, Thaiphum;Sino-Tibetan;;
Chin, Uppu;Sino-Tibetan;;
Chin, Zotung;Sino-Tibetan;;
Chin, Zyphe;Sino-Tibetan;;
Chinali;Indo-European;;
Chinantec, Chiltepec;Otomanguean;;
Chinantec, Comaltepec;Otomanguean;;
Chinantec, Lalana;Otomanguean;;
Chinantec, Lealao;Otomanguean;;
Chinantec, Ojitlán;Otomanguean;;
Chinantec, Ozumacín;Otomanguean;;
Chinantec, Palantla;Otomanguean;;
Chinantec, Quiotepec;Otomanguean;;
Chinantec, Sochiapam;Otomanguean;;
Chinantec, Tepetotutla;Otomanguean;;
Chinantec, Tepinapa;Otomanguean;;
Chinantec, Tlacoatzintepec;Otomanguean;;
Chinantec, Usila;Otomanguean;;
Chinantec, Valle Nacional;Otomanguean;;
Chinese Pidgin English;Pidgin;;
Chinese, Classical;Sino-Tibetan;;
Chinese, Gan;Sino-Tibetan;;
Chinese, Hakka;Sino-Tibetan;;
Chinese, Huizhou;Sino-Tibetan;;
Chinese, Jinyu;Sino-Tibetan;;
Chinese, Leizhou;Sino-Tibetan;;
Chinese, Mandarin;Sino-Tibetan;;
Chinese, Min Bei;Sino-Tibetan;;
Chinese, Min Dong;Sino-Tibetan;;
Chinese, Min Nan;Sino-Tibetan;;
Chinese, Min Zhong;Sino-Tibetan;;
Chinese, Pu-Xian;Sino-Tibetan;;
Chinese, Shaojiang;Sino-Tibetan;;
Chinese, Wu;Sino-Tibetan;;
Chinese, Xiang;Sino-Tibetan;;
Chinese, Yue;Sino-Tibetan;;
Chingoni;Niger-Congo;;
Chini;Ramu-Lower Sepik;;
Chinook;Chinookan;;
Chinook Wawa;Pidgin;;
Chipaya;Chipaya-Uru;;
Chippewa;Algic;;
Chiquitano;Language isolate;;
Chiru;Sino-Tibetan;;
Chitimacha;Language isolate;;
Chittagonian;Indo-European;;
Chocangacakha;Sino-Tibetan;;
Chocholtec;Otomanguean;;
Choctaw;Muskogean;;
Chodri;Indo-European;;
Chokwe;Niger-Congo;;
Chol;Mayan;;
Cholón;Cholonan;;
Chong;Austro-Asiatic;;
Choni;Sino-Tibetan;;
Chontal, Highland Oaxaca;Tequistlatecan;;
Chontal, Lowland Oaxaca;Tequistlatecan;;
Chontal, Tabasco;Mayan;;
Choogen;Afro-Asiatic;;
Chopechop;Niger-Congo;;
Chopi;Niger-Congo;;
Chorote, Iyo’wujwa;Matacoan;;
Chorote, Iyojwa’ja;Matacoan;;
Chrambo;Niger-Congo;;
Chrau;Austro-Asiatic;;
Chru;Austronesian;;
Chuave;Trans-New Guinea;;
Chufie’;Niger-Congo;;
Chug;Sino-Tibetan;;
Chuj;Mayan;;
Chukchi;Chukotko-Kamchatkan;;
Chukwa;Sino-Tibetan;;
Chulym;Turkic;;
Chumburung;Niger-Congo;;
Chung;Austro-Asiatic;;
Chung;Niger-Congo;;
Churahi;Indo-European;;
Chut;Austro-Asiatic;;
Chuukese;Austronesian;;
Chuvantsy;Yukaghir;;
Chuvash;Turkic;;
Chuwabu;Niger-Congo;;
Cia-Cia;Austronesian;;
Cicipu;Niger-Congo;;
Cimbrian;Indo-European;;
Cineni;Afro-Asiatic;;
Cinta Larga;Tupian;;
Cishingini;Niger-Congo;;
Citak;Trans-New Guinea;;
Citak, Tamnim;Trans-New Guinea;;
Clallam;Salish;;
Coahuilteco;Comecrudan;;
Cochimi;Cochimí-Yuman;;
Cocopa;Cochimí-Yuman;;
Coeur d’Alene;Salish;;
Cofán;Language isolate;;
Col;Austronesian;;
Columbia-Wenatchi;Salish;;
Comanche;Uto-Aztecan;;
Comecrudo;Comecrudan;;
Comorian, Maore;Niger-Congo;;
Comorian, Mwali;Niger-Congo;;
Comorian, Ndzwani;Niger-Congo;;
Comorian, Ngazidja;Niger-Congo;;
Comox;Salish;;
Con;Austro-Asiatic;;
Cook Islands Maori;Austronesian;;
Côông;Sino-Tibetan;;
Coos;Coosan;;
Coptic;Afro-Asiatic;;
Coquille;Eyak-Athabaskan;;
Cora, El Nayar;Uto-Aztecan;;
Cora, Santa Teresa;Uto-Aztecan;;
Cornish;Indo-European;;
Corsican;Indo-European;;
Cotoname;Comecrudan;;
Cowlitz;Salish;;
Cree, Moose;Algic;;
Cree, Northern East;Algic;;
Cree, Plains;Algic;;
Cree, Southern East;Algic;;
Cree, Swampy;Algic;;
Cree, Woods;Algic;;
Crimean Tatar;Turkic;;
Croatian;Indo-European;;
Crow;Siouan-Catawban;;
Cruzeño;Chumashan;;
Cua;Austro-Asiatic;;
Cubeo;Tucanoan;;
Cuiba;Guajiboan;;
Cuicatec, Tepeuxila;Otomanguean;;
Cuicatec, Teutila;Otomanguean;;
Cuitlatec;Language isolate;;
Cumanagoto;Cariban;;
Cun;Kra-Dai;;
Cupeño;Uto-Aztecan;;
Curripaco;Maipurean;;
Cutchi-Swahili;Creole;;
Cuvok;Afro-Asiatic;;
Cuyonon;Austronesian;;
Czech;Indo-European;;
Da’a;Afro-Asiatic;;
Daakaka;Austronesian;;
Daantanai’;South Bougainville;;
Daasanach;Afro-Asiatic;;
Daatsʼíin;Nilo-Saharan;;
Daba;Afro-Asiatic;;
Dabarre;Afro-Asiatic;;
Dabe;Tor-Kwerba;;
Dadi Dadi;Australian;;
Dadibi;Trans-New Guinea;;
Dadiya;Niger-Congo;;
Daga;Trans-New Guinea;;
Dagaare, Southern;Niger-Congo;;
Dagaari Dioula;Niger-Congo;;
Dagara, Northern;Niger-Congo;;
Dagba;Nilo-Saharan;;
Dagbani;Niger-Congo;;
Dagik;Niger-Congo;;
Dagoman;Australian;;
Dahalik;Afro-Asiatic;;
Dahalo;Afro-Asiatic;;
Daho-Doo;Niger-Congo;;
Dai;Austronesian;;
Dair;Nilo-Saharan;;
Daju, Dar Daju;Nilo-Saharan;;
Daju, Dar Fur;Nilo-Saharan;;
Daju, Dar Sila;Nilo-Saharan;;
Dakka;Austronesian;;
Dakota;Siouan-Catawban;;
Dakpakha;Sino-Tibetan;;
Dalabon;Australian;;
Dalmatian;Indo-European;;
Dama;Niger-Congo;;
Damakawa;Niger-Congo;;
Damal;Trans-New Guinea;;
Damar, East;Austronesian;;
Damar, West;Austronesian;;
Dambi;Austronesian;;
Dameli;Indo-European;;
Dampelas;Austronesian;;
Dan;Niger-Congo;;
Danaru;Trans-New Guinea;;
Danau;Austro-Asiatic;;
Dangaléat;Afro-Asiatic;;
Dangi;Indo-European;;
Dangme;Niger-Congo;;
Dani, Lower Grand Valley;Trans-New Guinea;;
Dani, Mid Grand Valley;Trans-New Guinea;;
Dani, Upper Grand Valley;Trans-New Guinea;;
Dani, Western;Trans-New Guinea;;
Danish;Indo-European;;
Dano;Trans-New Guinea;;
Danu;Sino-Tibetan;;
Danuwar;Indo-European;;
Daonda;Border;;
Darai;Indo-European;;
Dargwa;Nakh-Daghestanian;;
Dari;Indo-European;;
Dari, Zoroastrian;Indo-European;;
Darkinyung;Australian;;
Darlong;Sino-Tibetan;;
Darmiya;Sino-Tibetan;;
Dass;Afro-Asiatic;;
Datooga;Nilo-Saharan;;
Daungwurrung;Australian;;
Daur;Mongolic;;
Davawenyo;Austronesian;;
Dâw;Puinavean;;
Dawawa;Austronesian;;
Dawera-Daweloor;Austronesian;;
Dawida;Niger-Congo;;
Dawoodi;Indo-European;;
Dawro;Afro-Asiatic;;
Day;Niger-Congo;;
Dayi;Australian;;
Daza;Afro-Asiatic;;
Dazaga;Nilo-Saharan;;
Deccan;Indo-European;;
Dedua;Trans-New Guinea;;
Defaka;Niger-Congo;;
Deg;Niger-Congo;;
Deg Xinag;Eyak-Athabaskan;;
Degano;Indo-European;;
Degema;Niger-Congo;;
Degenang;Trans-New Guinea;;
Dehwari;Indo-European;;
Dek;Niger-Congo;;
Deko-Dusanga;Niger-Congo;;
Dela-Oenale;Austronesian;;
Delaware, Pidgin;Pidgin;;
Delo;Niger-Congo;;
Dem;Trans-New Guinea;;
Dema;Niger-Congo;;
Demisa;East Geelvink Bay;;
Dendi;Niger-Congo;;
Dendi;Nilo-Saharan;;
Dene;Eyak-Athabaskan;;
Dengese;Niger-Congo;;
Dengka;Austronesian;;
Dení;Arauan;;
Deno;Afro-Asiatic;;
Denya;Niger-Congo;;
Deori;Sino-Tibetan;;
Dera;Afro-Asiatic;;
Desano;Tucanoan;;
Desiya;Indo-European;;
Dewas Rai;Indo-European;;
Dewoin;Niger-Congo;;
Dezfuli;Indo-European;;
Dghwede;Afro-Asiatic;;
Dhaiso;Niger-Congo;;
Dhalandji;Australian;;
Dhangu-Djangu;Australian;;
Dhao;Austronesian;;
Dharawal;Australian;;
Dhargari;Australian;;
Dharuk;Australian;;
Dharumbal;Australian;;
Dhatki;Indo-European;;
Dhimal;Sino-Tibetan;;
Dhimba;Niger-Congo;;
Dhodia;Indo-European;;
Dholuo;Nilo-Saharan;;
Dhudhuroa;Australian;;
Dhundari;Indo-European;;
Dhungaloo;Australian;;
Dhurga;Australian;;
Dhuwal;Australian;;
Dhuwaya;Australian;;
Dia;Torricelli;;
Dibiyaso;Trans-New Guinea;;
Dibo;Niger-Congo;;
Dibole;Niger-Congo;;
Dida, Lakota;Niger-Congo;;
Dida, Yocoboué;Niger-Congo;;
Didinga;Nilo-Saharan;;
Dido;Nakh-Daghestanian;;
Digaro-Mishmi;Sino-Tibetan;;
Dii;Niger-Congo;;
Dilling;Nilo-Saharan;;
Dima;Trans-New Guinea;;
Dimasa;Sino-Tibetan;;
Dimbong;Niger-Congo;;
Dime;Afro-Asiatic;;
Dineor;Tor-Kwerba;;
Ding;Niger-Congo;;
Dinka, Northeastern;Nilo-Saharan;;
Dinka, Northwestern;Nilo-Saharan;;
Dinka, South Central;Nilo-Saharan;;
Dinka, Southeastern;Nilo-Saharan;;
Dinka, Southwestern;Nilo-Saharan;;
Dir-Nyamzak-Mbarimi;Afro-Asiatic;;
Dirasha;Afro-Asiatic;;
Dirim;Niger-Congo;;
Dirya;Afro-Asiatic;;
Disa;Nilo-Saharan;;
Ditammari;Niger-Congo;;
Ditidaht;Wakashan;;
Diuwe;Trans-New Guinea;;
Dixon Reef;Austronesian;;
Diyari;Australian;;
Dizin;Afro-Asiatic;;
Djabugay;Australian;;
Djabwurrung;Australian;;
Djadjawurrung;Australian;;
Djambarrpuyngu;Australian;;
Djamindjung;Australian;;
Djangun;Australian;;
Djauan;Australian;;
Djawi;Australian;;
Djeebbana;Australian;;
Djinang;Australian;;
Djinba;Australian;;
Djiwarli;Australian;;
Dla;Senagi;;
Dobel;Austronesian;;
Dobu;Austronesian;;
Doe;Niger-Congo;;
Doga;Austronesian;;
Doghoro;Trans-New Guinea;;
Dogon, Ampari;Niger-Congo;;
Dogon, Ana Tinga;Niger-Congo;;
Dogon, Bankan Tey;Niger-Congo;;
Dogon, Ben Tey;Niger-Congo;;
Dogon, Bondum Dom;Niger-Congo;;
Dogon, Bunoge;Niger-Congo;;
Dogon, Dogul Dom;Niger-Congo;;
Dogon, Donno So;Niger-Congo;;
Dogon, Jamsay;Niger-Congo;;
Dogon, Mombo;Niger-Congo;;
Dogon, Nanga Dama;Niger-Congo;;
Dogon, Tebul Ure;Niger-Congo;;
Dogon, Tiranige Diga;Niger-Congo;;
Dogon, Togo Kan;Niger-Congo;;
Dogon, Tommo So;Niger-Congo;;
Dogon, Tomo Kan;Niger-Congo;;
Dogon, Toro So;Niger-Congo;;
Dogon, Toro Tegu;Niger-Congo;;
Dogon, Yanda Dom;Niger-Congo;;
Dogosé;Niger-Congo;;
Dogoso;Niger-Congo;;
Dogri;Indo-European;;
Dokshi;Afro-Asiatic;;
Dolgan;Turkic;;
Doloman;Trans-New Guinea;;
Dolpo;Sino-Tibetan;;
Dom;Trans-New Guinea;;
Domari;Indo-European;;
Dombe;Niger-Congo;;
Dompo;Niger-Congo;;
Domu;Trans-New Guinea;;
Domung;Trans-New Guinea;;
Dondo;Austronesian;;
Dong;Niger-Congo;;
Dong, Northern;Kra-Dai;;
Dong, Southern;Kra-Dai;;
Dongo;Niger-Congo;;
Dongotono;Nilo-Saharan;;
Dongxiang;Mongolic;;
Doondo;Niger-Congo;;
Dori’o;Austronesian;;
Dorig;Austronesian;;
Doromu-Koki;Trans-New Guinea;;
Dorze;Afro-Asiatic;;
Doso;Unclassified;;
Dotyali;Indo-European;;
Doutai;Lakes Plain;;
Doyayo;Niger-Congo;;
Drehu;Austronesian;;
Drents;Indo-European;;
Drubea;Austronesian;;
Drung;Sino-Tibetan;;
Duala;Niger-Congo;;
Duano;Austronesian;;
Duau;Austronesian;;
Dubli;Indo-European;;
Dubuporo;Trans-New Guinea;;
Dughore;Austronesian;;
Dugun;Niger-Congo;;
Duguri;Niger-Congo;;
Dugwor;Afro-Asiatic;;
Duhwa;Afro-Asiatic;;
Duli-Gey;Niger-Congo;;
Dulubu;Niger-Congo;;
Duma;Niger-Congo;;
Dumagat, Remontado;Austronesian;;
Dumi;Sino-Tibetan;;
Dumo;Skou;;
Dumpas;Austronesian;;
Dumun;Trans-New Guinea;;
Duna;Trans-New Guinea;;
Dungan;Sino-Tibetan;;
Dungmali;Sino-Tibetan;;
Dungra Bhil;Indo-European;;
Dungu;Niger-Congo;;
Duoluo;Kra-Dai;;
Dura;Sino-Tibetan;;
Duri;Austronesian;;
Duriankere;Trans-New Guinea;;
Durop;Niger-Congo;;
Duruwa;Dravidian;;
Dusner;Austronesian;;
Dusun Deyah;Austronesian;;
Dusun Malang;Austronesian;;
Dusun Witu;Austronesian;;
Dutch;Indo-European;;
Duungooma;Niger-Congo;;
Duupa;Niger-Congo;;
Duvle;Lakes Plain;;
Duwai;Afro-Asiatic;;
Duwet;Austronesian;;
Duya;Niger-Congo;;
Dwang;Niger-Congo;;
Dyaberdyaber;Australian;;
Dyan;Niger-Congo;;
Dyangadi;Australian;;
Dyarim;Afro-Asiatic;;
Dyirbal;Australian;;
Dyugun;Australian;;
Dza;Niger-Congo;;
Dzalakha;Sino-Tibetan;;
Dzando;Niger-Congo;;
Dzao Min;Hmong-Mien;;
Dzongkha;Sino-Tibetan;;
Dzùùngoo;Niger-Congo;;
E;Mixed language;;
E’ñapa Woromaipu;Cariban;;
Eastern Franconian;Indo-European;;
Ebira;Niger-Congo;;
Ebughu;Niger-Congo;;
Ede Cabe;Niger-Congo;;
Ede Ica;Niger-Congo;;
Ede Idaca;Niger-Congo;;
Ede Ije;Niger-Congo;;
Ede Nago, Kura;Niger-Congo;;
Edo;Niger-Congo;;
Edolo;Trans-New Guinea;;
Edopi;Lakes Plain;;
Efai;Niger-Congo;;
Efate, North;Austronesian;;
Efate, South;Austronesian;;
Efe;Nilo-Saharan;;
Efik;Niger-Congo;;
Efutop;Niger-Congo;;
Ega;Niger-Congo;;
Eggon;Niger-Congo;;
Ehueun;Niger-Congo;;
Eibela;Trans-New Guinea;;
Eitiep;Torricelli;;
Ejagham;Niger-Congo;;
Ejuele;Niger-Congo;;
Ekajuk;Niger-Congo;;
Ekari;Trans-New Guinea;;
Ekegusii;Niger-Congo;;
Eki;Niger-Congo;;
Ekit;Niger-Congo;;
Ekpeye;Niger-Congo;;
El Hugeirat;Nilo-Saharan;;
El Molo;Afro-Asiatic;;
Elege;Niger-Congo;;
Eleme;Niger-Congo;;
Elepi;Torricelli;;
